FOOD_NM,INGREDIENTS,TYPE,Quantity
아이스홍시,아이스홍시,후식,2304.0
케이준치킨샐러드,꿀(아카시아꿀),반찬,31021.0
돈육김치찌개,간장(재래간장),국,88846.0
폭찹,당근,반찬,31113.0
모닝빵샌드위치,감자/껍질제거(깐것),반찬,48862.0
국물떡볶이,간장(양조간장)/국산,반찬,55190.0
들깨무채국,간장(재래간장),국,36046.0
시금치고추장무침,고추장,반찬,13390.0
돈육달걀장조림,간장(양조간장)/국산,반찬,40334.0
오징어숙회+초고추장,고추장(전통고추장)/국산,반찬,1185.0
수제떡갈비구이,간장(양조간장)/국산,반찬,2625.0
데리야끼치킨,닭고기(넓적다리살)/껍질제거(깐것),반찬,2108.0
크래미초무침,과즙음료(레몬),반찬,5665.0
메추라기알버섯조림,간장(양조간장)/국산,반찬,8172.0
왜된장국,다시마/말린것(건조),국,140.0
곤약채소초무침,고추장(전통고추장)/국산,반찬,2911.0
스파게티,당근/세척한것,밥,171431.0
과일쥬스(사과),과채주스(사과농축과즙),후식,14800.0
치킨케이준샐러드,감귤통조림,반찬,13218.0
연근강정,고추장(전통고추장)/국산,반찬,3531.0
무조미김,김(구운김)/무염,반찬,599.0
닭날개간장구이,간장(양조간장)/국산,반찬,13332.0
돼지고기김치찜,고춧가루/국산,반찬,11421.0
시리얼요거트,꿀(잡화꿀),후식,6659.0
완자전,고추(붉은고추(홍고추)),반찬,4761.0
감자치즈튀김,감자/껍질제거(깐것),반찬,3951.0
산채비빔밥,간장(양조간장)/국산,밥,46719.0
황태감자국,간장(재래간장)/국산,국,48812.0
잔멸치크랜베리볶음,"깨(참깨)/볶은것,껍질제거(깐것)",반찬,7673.0
블루베리요거트,꿀(잡화꿀),후식,14805.0
한우우엉볶음밥,간장(양조간장)/국산,밥,18043.0
새우튀김,콩기름(대두유),반찬,9406.0
하우스귤,감귤(밀감),후식,7375.0
김치감자탕,감자/껍질제거(깐것),국,29752.0
장어강정,간장(양조간장)/국산,반찬,5823.0
허니버터연근칩,부각(연근부각),반찬,1345.0
혼합잡곡밥,멥쌀(백미)/친환경,밥,105740.0
양파맛살전,달걀(전란),반찬,5236.0
