FOOD_NM,INGREDIENT,TYPE
닭윙꽈리고추조림,"생강/국산,껍질제거(깐것)",반찬
계란어묵국,마늘/국산,국
등갈비김치찜,마늘/국산,반찬
야채샐러드/오리엔탈드레싱,"사과(부사,후지)",후식
취나물된장무침,당근,반찬
만두찜,만두(손만두),반찬
소고기전,마늘/국산,반찬
옛날소시지전,파(쪽파),반찬
멸치아몬드볶음,아몬드,반찬
참치마요주먹밥,멥쌀(백미)/친환경,밥
우동,마늘/국산,국
곰탕,마늘/국산,국
명태코다리시래기조림,마늘/국산,반찬
케이준샐러드,양배추,반찬
치즈케익,케이크(치즈케이크),후식
자반무침,마늘/국산,반찬
삼겹살김치조림,마늘/국산,반찬
느타리버섯볶음,당근,반찬
현미쿠키,쿠키/생지,후식
소고기메추리알조림,마늘/국산,반찬
가랏된장무침,마늘/국산,반찬
짜요짜요,발효유(짜먹는요구르트)/딸기맛,후식
사골우거지탕,마늘/국산,국
